Date,SP500Price,USDCADPrice,Close,Volume,CPI,EPS,PE
10/14/2021,4438.23,1.2367,129.869995,8363100,143.9,1.92,67.6406224
10/13/2021,4363.8,1.2441,128.669998,6621100,143.9,1.92,67.01562396
10/12/2021,4350.64,1.2465,128.300003,5842200,143.9,1.92,66.82291823
10/8/2021,4391.36,1.2469,128.410004,1404300,143.9,1.92,66.88021042
10/7/2021,4399.76,1.2546,127.879997,2170000,143.9,1.92,66.6041651
10/6/2021,4363.55,1.2587,127.32,3258100,143.9,1.92,66.3125
10/5/2021,4345.72,1.2581,127.25,3106000,143.9,1.92,66.27604167
10/4/2021,4300.46,1.2587,126.199997,1728900,143.9,1.92,65.7291651
10/1/2021,4357.05,1.2647,126.110001,4045100,143.9,1.92,65.68229219
9/30/2021,4307.54,1.2678,126.029999,2712600,142.9,1.92,65.64062448
9/29/2021,4359.46,1.2754,126.709999,1784700,142.9,1.92,65.99479115
9/28/2021,4352.63,1.2685,126.57,2426100,142.9,1.92,65.921875
9/27/2021,4443.11,1.2627,127.959999,2544400,142.9,1.92,66.64583281
9/24/2021,4455.48,1.2652,127.900002,3298100,142.9,1.92,66.61458438
9/23/2021,4448.98,1.2655,128.149994,1748300,142.9,1.92,66.74478854
9/22/2021,4395.64,1.277,126.410004,1649400,142.9,1.92,65.83854375
9/21/2021,4354.18,1.2815,125.330002,1691800,142.9,1.92,65.27604271
9/20/2021,4357.73,1.2825,125.730003,3026000,142.9,1.92,65.48437656
9/17/2021,4432.99,1.2766,127.660004,7761000,142.9,1.92,66.48958542
9/16/2021,4473.76,1.2681,129.570007,1636400,142.9,1.92,67.48437865
9/15/2021,4480.7,1.2633,129.559998,1937700,142.9,1.92,67.47916563
9/14/2021,4443.05,1.2693,128.429993,2005800,142.9,1.92,66.89062135
9/13/2021,4468.73,1.2651,129.160004,2253800,142.9,1.92,67.27083542
9/10/2021,4458.58,1.2689,129.630005,1433600,142.9,1.92,67.5156276
9/9/2021,4493.28,1.2662,129.839996,1292900,142.9,1.92,67.62499792
9/8/2021,4514.07,1.2689,129.440002,1349400,142.9,1.92,67.41666771
9/7/2021,4520.03,1.2647,129.949997,1522600,142.9,1.92,67.6822901
9/3/2021,4535.43,1.2526,129.479996,1150600,142.9,1.92,67.43749792
9/2/2021,4536.95,1.2551,129.649994,1291400,142.9,1.92,67.52603854
9/1/2021,4524.09,1.2616,129.490005,1947000,142.9,1.92,67.44271094
8/31/2021,4522.68,1.2614,129.600006,3297000,142.6,1.92,67.50000313
8/30/2021,4528.79,1.2601,131.070007,1911400,142.6,1.92,68.26562865
8/27/2021,4509.37,1.2626,132.279999,2630100,142.6,1.92,68.89583281
8/26/2021,4469.91,1.2682,132.570007,1756700,142.6,1.92,69.04687865
8/25/2021,4496.19,1.2589,133.149994,3074700,142.6,1.92,69.34895521
8/24/2021,4486.23,1.2589,132.050003,2648400,142.6,1.92,68.77604323
8/23/2021,4479.54,1.2645,131.740005,2198000,142.6,1.92,68.61458594
8/20/2021,4441.67,1.2821,131.720001,2055800,142.6,1.92,68.60416719
8/19/2021,4405.8,1.2826,130.350006,2488700,142.6,1.92,67.89062813
8/18/2021,4400.27,1.2655,130.660004,1624400,142.6,1.92,68.05208542
8/17/2021,4448.08,1.263,130.75,2567300,142.6,1.92,68.09895833
8/16/2021,4479.66,1.2572,131.179993,2467500,142.6,1.92,68.32291302
8/13/2021,4468,1.2513,131.059998,965600,142.6,1.92,68.26041563
8/12/2021,4460.84,1.2525,131.080002,2411200,142.6,1.92,68.27083438
8/11/2021,4447.7,1.2506,130.960007,4018100,142.6,1.92,68.20833698
8/10/2021,4436.75,1.2519,130.360001,1468400,142.6,1.92,67.89583385
8/9/2021,4432.35,1.2574,129.350006,4279900,142.6,1.92,67.36979479
8/6/2021,4436.52,1.2552,129.139999,2106300,142.6,1.92,67.26041615
8/5/2021,4429.1,1.2507,127.919998,8759600,142.6,1.92,66.62499896
8/4/2021,4402.68,1.2534,127.199997,1658300,142.6,1.92,66.24999844
8/3/2021,4423.15,1.2536,126.279999,1816600,142.6,1.92,65.77083281
7/30/2021,4395.26,1.247,126.18,3993300,142.3,1.79,70.49162011
7/29/2021,4419.15,1.2444,127,1807600,142.3,1.79,70.94972067
7/28/2021,4400.65,1.2527,126.639999,2201000,142.3,1.79,70.74860279
7/27/2021,4401.46,1.26,126.540001,5527100,142.3,1.79,70.69273799
7/26/2021,4422.23,1.254,125.860001,5516600,142.3,1.79,70.31284972
7/23/2021,4411.8,1.2561,125.32,6858300,142.3,1.79,70.01117318
7/22/2021,4367.48,1.2564,125.860001,10324500,142.3,1.79,70.31284972
7/21/2021,4358.69,1.2552,126.300003,2649300,142.3,1.79,70.55866089
7/20/2021,4323.21,1.2677,125.989998,6853400,142.3,1.79,70.38547374
7/19/2021,4258.63,1.2748,125.540001,10464900,142.3,1.79,70.13407877
7/16/2021,4327.16,1.2611,127.540001,9217300,142.3,1.79,71.25139721
7/15/2021,4360.03,1.2592,129.309998,2424200,142.3,1.79,72.24022235
7/14/2021,4374.3,1.2506,128.740005,4975500,142.3,1.79,71.9217905
7/13/2021,4369.21,1.251,127.980003,1727100,142.3,1.79,71.49720838
7/12/2021,4384.63,1.2451,127.720001,9403300,142.3,1.79,71.35195587
7/9/2021,4369.55,1.2446,126.370003,4405800,142.3,1.79,70.59776704
7/8/2021,4320.82,1.2532,125.779999,4082900,142.3,1.79,70.26815587
7/7/2021,4358.13,1.2477,125.949997,2539000,142.3,1.79,70.36312682
7/6/2021,4343.54,1.2462,125.980003,2682100,142.3,1.79,70.37988994
7/2/2021,4352.34,1.2319,126.029999,1522800,142.3,1.79,70.40782067
6/30/2021,4297.5,1.2394,125.589996,2493100,141.4,1.79,70.16200894
6/29/2021,4291.8,1.2401,125.660004,1447500,141.4,1.79,70.20111955
6/28/2021,4290.61,1.2335,125.529999,2680400,141.4,1.79,70.12849106
6/25/2021,4280.7,1.2294,126.169998,1789500,141.4,1.79,70.4860324
6/24/2021,4266.49,1.2322,125.709999,1669800,141.4,1.79,70.22904972
6/23/2021,4241.84,1.2305,125.639999,1768900,141.4,1.79,70.18994358
6/22/2021,4246.44,1.2305,125.839996,1928700,141.4,1.79,70.30167374
